date,city,state,dead,injured,total,description
7/4/22,Highland Park,Illinois,7,48,55,"Highland Park parade shooting: Seven people were killed and 48 others were wounded after a person opened fire from a rooftop on people attending an Independence Day parade. Eleven others were injured fleeing the scene. The shooter also admitted he had plans to drive to Madison, Wisconsin to shoot more people. He was charged with a total of 117 counts later in the month."
7/4/22,Richmond,Virginia,0,6,6,Six people were shot during the early morning outside an internet cafe in the Jackson Ward neighborhood.
7/4/22,Oakland,California,0,5,5,Five people were hit by celebratory gunfire fired from a nearby neighborhood inside the Oakland Coliseum during a baseball game between the Toronto Blue Jays and Oakland Athletics.
7/4/22,Chicago,Illinois,0,5,5,"Shortly after midnight, five people, including a teenager, were shot in the Parkway Gardens neighborhood as they stood outside."
7/4/22,Boston,Massachusetts,0,4,4,Four people were shot at an intersection in the Dorchester neighborhood.
7/4/22,Kansas City,Missouri,0,4,4,"Officers responding to reports of car break-ins heard gunshots, then found four people shot in the downtown area."
7/3/22,Surprise,Arizona,3,4,7,A shooter opened fire during a birthday party leaving three men dead and four others wounded.
7/3/22,Tacoma,Washington,0,4,4,Four people were shot in the South End neighborhood.
7/3/22,Mullins,South Carolina,0,4,4,Four people were wounded in a shooting.
7/3/22,Manassas,Virginia,0,4,4,A fight in the parking lot of a car wash escalated into a shooting that left four injured.
7/2/22,Clinton,North Carolina,0,6,6,A drive-by shooting left four adults and two children hospitalized.
7/2/22,Haltom City,Texas,3,4,7,"A man shot and killed two people at a home before also shooting a neighbor who was calling the police and then opened fire on three police officers as they approached the residence, wounding all three. The shooter fled the scene and later fatally shot himself."
7/1/22,Chicago,Illinois,0,4,4,"A man opened fire on people on a street in the West Garfield Park neighborhood, leaving four injured."
7/1/22,Greenwood,Mississippi,1,7,8,A drive-by shooting left one dead and seven others injured.
7/1/22,New York City,New York,1,3,4,"A shooter opened fire inside a mechanic shop that was hosting a party in the Richmond Hill neighborhood of Queens, leaving one dead and three others injured."
7/1/22,Chicago,Illinois,2,3,5,An argument outside a nightclub escalated into a shooting that left two dead and injured three others in the Chicago Loop.
6/30/22,Newark,New Jersey,0,9,9,Nine people were injured in a shooting.
6/30/22,Allen City,Kentucky,3,4,7,"2022 shooting of Kentucky police officers: A man shot dead three police officers and a police dog and wounded four other people, including three officers."
6/29/22,Jersey City,New Jersey,0,4,4,Four people were injured in a shooting in the Greenville neighborhood.
6/29/22,Philadelphia,Pennsylvania,0,4,4,Four people were shot in the East Germantown neighborhood of Northwest Philadelphia.
6/28/22,Ripley,Tennessee,1,3,4,One person was fatally shot and two others were injured after a teenager violently forced his way into a home and opened fire. The shooter was also wounded.
6/27/22,Holly Springs,Mississippi,1,3,4,One person was killed and three others were injured during a shootout on MS-178.
6/27/22,Charlotte,North Carolina,0,5,5,"Five people, included two children, were shot in the Lincoln Heights neighborhood."
6/26/22,Sutherlin,Virginia,1,7,8,An early morning shooting at a party left one dead and seven others injured.
6/26/22,Tacoma,Washington,0,8,8,Eight people were shot at a party in South Tacoma.
6/26/22,Paterson,New Jersey,0,5,5,Five people were wounded after a shooting.
6/26/22,Blakely,Georgia,1,6,7,One person was killed and six others wounded after a shooting.
6/26/22,Tacoma,Washington,1,4,5,"Five people were shot, one fatally."
6/26/22,Winona,Texas,0,5,5,Five people were shot at a trail ride concert.
6/26/22,San Antonio,Texas,1,3,4,"During the early morning, a fight at a nightclub escalated into a shootout that left one dead and three injured."
6/25/22,Minneapolis,Minnesota,0,4,4,"After multiple fights broke out during a gathering, a shooting left four injured, including several uninvolved bystanders, during the late evening hours."
6/25/22,Houston,Texas,2,2,4,Two men were killed and another two wounded after an argument escalated into a shooting.
6/25/22,New York City,New York,0,4,4,"Four people, including an eight-year-old boy, were wounded after a man on a dirtbike opened fire on a barbeque in the Bedford-Stuyvesant neighborhood of Brooklyn."
6/24/22,Hopewell,Virginia,2,2,4,"Four teenagers were shot near railroad tracks, two fatally."
6/24/22,Philadelphia,Pennsylvania,2,2,4,Two were killed and two others wounded after a shootout in the Point Breeze neighborhood.
6/24/22,Burleson,Texas,1,3,4,A shooting killed a woman driving nearby and wounded three others. Six were arrested in connection with the shooting.
6/23/22,Chicago,Illinois,1,3,4,"Four people were shot, one fatally, near a CTA Red Line station."
6/20/22,New York City,New York,1,8,9,"One person was killed, and eight others wounded at a late night barbeque party in a park in Harlem."
6/20/22,New York City,New York,0,5,5,Five people were shot at a party in the St. George neighborhood of Staten Island.
6/19/22,Miami,Florida,0,5,5,"Five people, including a teenager, were shot while in a car at an intersection between the Coral Way and Coconut Grove neighborhoods."
6/19/22,Walterboro,South Carolina,2,2,4,"Two people were killed, and two others injured during a shooting at a nightclub."
6/19/22,Grand Rapids,Michigan,0,4,4,Four people were shot in the Burton Heights neighborhood in the city's southeast side.
